unitid,month,high_earning,post_scorecard,avg_index,n_keywords
100858,2013-05-01,1,0,-0.294409759378816,16
100858,2013-06-01,1,0,-0.106400572337411,20
100858,2013-07-01,1,0,-0.0252783209310736,16
100858,2013-08-01,1,0,0.656018164329894,16
100858,2013-09-01,1,0,0.522991265871534,20
100858,2013-10-01,1,0,0.57500497964831,16
100858,2013-11-01,1,0,0.954503233645905,16
100858,2013-12-01,1,0,1.37614864439098,20
100858,2014-01-01,1,0,1.2094279254982,16
100858,2014-02-01,1,0,-0.208990651624312,16
100858,2014-03-01,1,0,-0.287409475890831,20
100858,2014-04-01,1,0,-0.0914043253513768,16
100858,2014-05-01,1,0,-0.375886730057469,16
100858,2014-06-01,1,0,-0.351198300009774,20
100858,2014-07-01,1,0,-0.171546283435679,16
100858,2014-08-01,1,0,0.266780269426333,20
100858,2014-09-01,1,0,0.344707791734816,16
100858,2014-10-01,1,0,0.467631558735801,16
100858,2014-11-01,1,0,0.646837996420532,20
100858,2014-12-01,1,0,-0.239413690994258,16
100858,2015-01-01,1,0,-0.510142194107461,16
100858,2015-02-01,1,0,-0.498908438131094,16
100858,2015-03-01,1,0,-0.61488382792732,20
100858,2015-04-01,1,0,-0.547485224641689,16
100858,2015-05-01,1,0,-0.418843038437146,20
100858,2015-06-01,1,0,-0.554008712687458,16
100858,2015-07-01,1,0,-0.313525122170112,16
100858,2015-08-01,1,0,0.075287128463886,20
100858,2015-09-01,1,1,0.319982912958209,16
100858,2015-10-01,1,1,0.0495404305732072,16
100858,2015-11-01,1,1,-0.0508096993181903,20
100858,2015-12-01,1,1,-0.670830930305868,16
100858,2016-01-01,1,1,-0.55691569261216,20
100858,2016-02-01,1,1,-0.661490648125632,16
100858,2016-03-01,1,1,-0.749183117463618,12
100937,2013-03-01,1,0,0.812925272122626,6
100937,2013-04-01,1,0,0.692712932515851,12
100937,2013-05-01,1,0,0.315295571775668,12
100937,2013-06-01,1,0,-0.339554394261979,15
100937,2013-07-01,1,0,-0.193719013873406,12
100937,2013-08-01,1,0,0.874239046164309,12
100937,2013-09-01,1,0,1.49112217453561,15
100937,2013-10-01,1,0,1.36539924276328,12
100937,2013-11-01,1,0,0.0652655070483946,12
100937,2013-12-01,1,0,-0.623899752535422,15
100937,2014-01-01,1,0,-0.278213248681794,12
100937,2014-02-01,1,0,0.809452515818529,12
100937,2014-03-01,1,0,0.066599406806548,15
100937,2014-04-01,1,0,-0.0482136806391593,12
100937,2014-05-01,1,0,0.0274060936965293,12
100937,2014-06-01,1,0,-0.109395642450624,15
100937,2014-07-01,1,0,-0.381036137476527,12
100937,2014-08-01,1,0,0.427276653388517,15
100937,2014-09-01,1,0,0.978580792819604,12
100937,2014-10-01,1,0,0.355967474512715,12
100937,2014-11-01,1,0,-0.227293719296048,15
100937,2014-12-01,1,0,-1.03132232610104,12
100937,2015-01-01,1,0,-0.0872647289065782,12
100937,2015-02-01,1,0,0.101335628661453,12
100937,2015-03-01,1,0,-0.122036007757197,15
100937,2015-04-01,1,0,-0.0232891976783314,12
100937,2015-05-01,1,0,-0.178078181753995,15
100937,2015-06-01,1,0,-0.716096852242633,12
100937,2015-07-01,1,0,-0.505427818909455,12
100937,2015-08-01,1,0,-0.494173120561331,15
100937,2015-09-01,1,1,-0.0270231177141042,12
100937,2015-10-01,1,1,0.0674842539802226,12
100937,2015-11-01,1,1,-0.45433691575956,15
100937,2015-12-01,1,1,-1.39050022036859,12
100937,2016-01-01,1,1,-0.345852341415382,15
100937,2016-02-01,1,1,-0.156321594518575,12
100937,2016-03-01,1,1,-0.168292914763194,9
101073,2013-03-01,0,0,0.209896351646155,3
101073,2013-04-01,0,0,-0.222227299968771,12
101073,2013-05-01,0,0,0.0698717505111608,12
101073,2013-06-01,0,0,-0.70625480071854,15
101073,2013-07-01,0,0,-0.020338457554703,12
101073,2013-08-01,0,0,0.614321868300293,12
101073,2013-09-01,0,0,1.55229806745794,15
101073,2013-10-01,0,0,0.277348341790528,12
101073,2013-11-01,0,0,0.00155522351526048,12
101073,2013-12-01,0,0,0.133910989010545,15
101073,2014-01-01,0,0,0.15420339142916,12
101073,2014-02-01,0,0,-0.13541666463639,12
101073,2014-03-01,0,0,-0.341054533877893,15
101073,2014-04-01,0,0,-0.489939687150215,12
101073,2014-05-01,0,0,0.431861795262853,12
101073,2014-06-01,0,0,-0.602519285868206,15
101073,2014-07-01,0,0,0.117985308147214,12
101073,2014-08-01,0,0,0.419738798744169,15
101073,2014-09-01,0,0,0.515623784204095,12
101073,2014-10-01,0,0,0.461854279216106,12
101073,2014-11-01,0,0,-0.369639103888193,15
101073,2014-12-01,0,0,-0.564317255755342,12
101073,2015-01-01,0,0,0.176698736626038,12
101073,2015-02-01,0,0,0.31124585841892,12
101073,2015-03-01,0,0,-0.163393939309718,15
101073,2015-04-01,0,0,-0.110959799625496,12
101073,2015-05-01,0,0,-0.330703788468288,15
101073,2015-06-01,0,0,-0.962292657653209,12
101073,2015-07-01,0,0,-0.234612225841504,12
101073,2015-08-01,0,0,0.508735164238977,15
101073,2015-09-01,0,1,0.118015394595388,12
101073,2015-10-01,0,1,-0.351932819727502,12
101073,2015-11-01,0,1,0.133038172419635,15
101073,2015-12-01,0,1,-0.413827177525084,12
101073,2016-01-01,0,1,0.27744183288999,15
101073,2016-02-01,0,1,-0.335147494890603,12
101073,2016-03-01,0,1,-0.101545245387754,12
101189,2013-04-01,0,0,0.448897074685641,8
101189,2013-05-01,0,0,0.117258863377759,8
101189,2013-06-01,0,0,0.101951360888501,10
101189,2013-07-01,0,0,0.759428592199997,8
101189,2013-08-01,0,0,2.3096256863978,8
101189,2013-09-01,0,0,1.29315884769479,10
101189,2013-10-01,0,0,1.20122484795298,8
101189,2013-11-01,0,0,0.0566531666741006,8
101189,2013-12-01,0,0,-0.557420131591998,10
101189,2014-01-01,0,0,0.336056381976491,8
101189,2014-02-01,0,0,0.177510067762536,8
101189,2014-03-01,0,0,0.551142623983567,10
101189,2014-04-01,0,0,0.227998946809151,8
101189,2014-05-01,0,0,-0.0727702453670438,8
101189,2014-06-01,0,0,-0.102074106518316,10
101189,2014-07-01,0,0,-0.373248418050092,8
101189,2014-08-01,0,0,0.519801626380272,10
101189,2014-09-01,0,0,0.444436573049846,8
101189,2014-10-01,0,0,0.154948276503279,8
101189,2014-11-01,0,0,-0.16925576541161,10
101189,2014-12-01,0,0,-0.804377553572606,8
101189,2015-01-01,0,0,-0.262799354111847,8
101189,2015-02-01,0,0,-0.204034983605669,8
101189,2015-03-01,0,0,-0.447443046125361,10
101189,2015-04-01,0,0,-0.603649588184466,8
101189,2015-05-01,0,0,-0.704660161046031,10
101189,2015-06-01,0,0,-0.715908241907325,8
101189,2015-07-01,0,0,-0.313870272144754,8
101189,2015-08-01,0,0,0.106967434024828,10
101189,2015-09-01,0,1,-0.368205877428004,8
101189,2015-10-01,0,1,-0.177303710203763,8
101189,2015-11-01,0,1,-0.49613502995251,10
101189,2015-12-01,0,1,-0.954357356833852,8
101189,2016-01-01,0,1,-0.303255008530342,10
101189,2016-02-01,0,1,-0.247671732245583,8
101189,2016-03-01,0,1,-0.876814448479317,8
101587,2013-03-01,0,0,0.112375272514219,5
101587,2013-04-01,0,0,0.346859556295336,20
101587,2013-05-01,0,0,-0.0134570942413701,20
101587,2013-06-01,0,0,-0.19267382254452,25
101587,2013-07-01,0,0,0.265979260284135,20
101587,2013-08-01,0,0,0.572536646507115,20
101587,2013-09-01,0,0,0.82564441812434,25
101587,2013-10-01,0,0,0.730551659305226,20
101587,2013-11-01,0,0,0.124724973889707,20
101587,2013-12-01,0,0,-0.592688452205515,25
101587,2014-01-01,0,0,0.0442892534376045,20
101587,2014-02-01,0,0,-0.125125083445937,20
101587,2014-03-01,0,0,-0.161510845842364,25
101587,2014-04-01,0,0,-0.270518050933649,20
101587,2014-05-01,0,0,-0.315737761389976,20
101587,2014-06-01,0,0,-0.532909258570414,25
101587,2014-07-01,0,0,-0.254075071843759,20
101587,2014-08-01,0,0,0.882339109900487,25
101587,2014-09-01,0,0,0.445699778889485,20
101587,2014-10-01,0,0,0.324848089652944,20
101587,2014-11-01,0,0,-0.12046315229911,25
101587,2014-12-01,0,0,-0.986391561842548,20
101587,2015-01-01,0,0,-0.22375738965311,20
101587,2015-02-01,0,0,0.755357587246774,20
101587,2015-03-01,0,0,-0.429077490148858,25
101587,2015-04-01,0,0,-0.301029591856391,20
101587,2015-05-01,0,0,-0.306499067792767,25
101587,2015-06-01,0,0,-0.666211499124079,20
101587,2015-07-01,0,0,-0.502732458799191,20
101587,2015-08-01,0,0,0.174310203895862,25
101587,2015-09-01,0,1,0.536497849351607,20
101587,2015-10-01,0,1,0.21511835228634,20
101587,2015-11-01,0,1,0.00210744849875526,25
101587,2015-12-01,0,1,-0.694434233281991,20
101587,2016-01-01,0,1,0.249662407608721,25
101587,2016-02-01,0,1,0.167798031528128,20
101587,2016-03-01,0,1,0.0630840884376965,15
101675,2013-04-01,0,0,-0.354652868976785,8
101675,2013-05-01,0,0,0.400565823314432,8
101675,2013-06-01,0,0,-0.592984744568107,10
101675,2013-07-01,0,0,-0.64485152952324,8
101675,2013-08-01,0,0,0.211168473089313,8
101675,2013-09-01,0,0,0.24825134457598,10
101675,2013-10-01,0,0,0.235051590511883,8
101675,2013-11-01,0,0,-0.291883725226941,8
101675,2013-12-01,0,0,-0.53714798404028,10
101675,2014-01-01,0,0,0.0336398405272964,8
101675,2014-02-01,0,0,0.287991230659036,8
101675,2014-03-01,0,0,-0.369143462028019,10
101675,2014-04-01,0,0,-0.267669113255523,8
101675,2014-05-01,0,0,-0.214111672572394,8
101675,2014-06-01,0,0,-0.667775302507522,10
101675,2014-07-01,0,0,-0.365763162213149,8
101675,2014-08-01,0,0,-0.0814129687021073,10
101675,2014-09-01,0,0,0.801395297784914,8
101675,2014-10-01,0,0,0.193553738149943,8
101675,2014-11-01,0,0,-0.121562720879485,10
101675,2014-12-01,0,0,-0.53018747604011,8
101675,2015-01-01,0,0,-0.142226261084877,8
101675,2015-02-01,0,0,0.000926761354180612,8
101675,2015-03-01,0,0,0.257746318706463,10
101675,2015-04-01,0,0,0.433138278596784,8
101675,2015-05-01,0,0,-0.101849487400038,10
101675,2015-06-01,0,0,-0.912829603596968,8
101675,2015-07-01,0,0,-0.770198946364843,8
101675,2015-08-01,0,0,0.81938071304587,10
101675,2015-09-01,0,1,1.36973303055664,8
101675,2015-10-01,0,1,0.835439413359024,8
101675,2015-11-01,0,1,1.02593976683656,10
101675,2015-12-01,0,1,-0.498232821293734,8
101675,2016-01-01,0,1,0.530472891486551,10
101675,2016-02-01,0,1,-0.33684726337933,8
101675,2016-03-01,0,1,0.0144580099671263,8
101693,2013-03-01,0,0,-0.0717827984869008,5
101693,2013-04-01,0,0,0.535991819337367,20
101693,2013-05-01,0,0,0.312914726901,20
101693,2013-06-01,0,0,0.422051825724355,25
101693,2013-07-01,0,0,0.746532650164686,20
101693,2013-08-01,0,0,1.34314254361318,20
101693,2013-09-01,0,0,1.00286004976299,25
101693,2013-10-01,0,0,0.10447256042308,20
101693,2013-11-01,0,0,0.334088897002807,20
101693,2013-12-01,0,0,-0.28625088980946,25
101693,2014-01-01,0,0,0.372388135083022,20
101693,2014-02-01,0,0,-0.177260715144112,20
101693,2014-03-01,0,0,-0.233534112003023,25
101693,2014-04-01,0,0,-0.309233341147039,20
101693,2014-05-01,0,0,-0.197337270270324,20
101693,2014-06-01,0,0,-0.580259463264676,25
101693,2014-07-01,0,0,0.00223939253476953,20
101693,2014-08-01,0,0,0.427640739546181,25
101693,2014-09-01,0,0,0.608174967278021,20
101693,2014-10-01,0,0,0.157309914092674,20
101693,2014-11-01,0,0,0.284632386700455,25
